strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,process,index
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,3.42,1.779761904761898,7267.5,98,lumen,3_otsuOffset,9
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,14.24,6.583120204603574,7650.0,105,lumen,3_otsuOffset,10
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,3.22,3.396825396825406,4717.5,114,lumen,3_otsuOffset,11
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,0.33,0.7999999999999972,2932.5,119,lumen,3_otsuOffset,12
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,14.91,9.977489177489161,7650.0,125,lumen,3_otsuOffset,13
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,7.68,3.256410256410277,6120.0,136,lumen,3_otsuOffset,14
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,13.81,4.555555555555571,7650.0,144,lumen,3_otsuOffset,15
14,output\processed_images\3_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,66.08353808353807,7,7.54,7.512222222222221,6757.5,40,lumen,3_otsuOffset,0
14,output\processed_images\3_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,66.08353808353807,7,10.35,0.7857142857142847,11475.0,44,lumen,3_otsuOffset,1
14,output\processed_images\3_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,66.08353808353807,7,0.0,2.762500000000003,1402.5,49,lumen,3_otsuOffset,2
14,output\processed_images\3_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,66.08353808353807,7,9.46,4.216248506571084,6885.0,61,lumen,3_otsuOffset,3
14,output\processed_images\3_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,66.08353808353807,7,8.94,0.6111111111111143,12495.0,63,lumen,3_otsuOffset,4
14,output\processed_images\3_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,66.08353808353807,7,18.77,4.438518518518521,6757.5,80,lumen,3_otsuOffset,5
14,output\processed_images\3_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,66.08353808353807,7,0.0,2.9368131868131826,2932.5,90,lumen,3_otsuOffset,6
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,2.39,0.5416666666666679,6502.5,21,lumen,3_otsuOffset,0
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,12.86,5.133333333333333,8415.0,25,lumen,3_otsuOffset,1
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,2.16,2.549999999999997,2422.5,35,lumen,3_otsuOffset,2
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,2.16,1.5,2295.0,38,lumen,3_otsuOffset,3
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,16.43,8.31818181818182,7650.0,45,lumen,3_otsuOffset,4
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,-0.9,4.600000000000001,1147.5,53,lumen,3_otsuOffset,5
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,0.9,4.600000000000001,1147.5,56,lumen,3_otsuOffset,6
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,17.95,5.206249999999997,6757.5,63,lumen,3_otsuOffset,7
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,0.0,2.4285714285714306,1912.5,75,lumen,3_otsuOffset,8
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,16.78,7.743636363636355,7650.0,84,lumen,3_otsuOffset,9
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,22.07,24.588235294117652,7650.0,99,lumen,3_otsuOffset,10
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,7.37,1.8846153846153868,9690.0,115,lumen,3_otsuOffset,11
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,10.66,6.6264367816092005,7650.0,125,lumen,3_otsuOffset,12
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,0.72,0.6666666666666572,3570.0,131,lumen,3_otsuOffset,13
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,6.43,2.708333333333343,5737.5,133,lumen,3_otsuOffset,14
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,15.67,7.434959349593498,7650.0,143,lumen,3_otsuOffset,15
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,6.29,0.9499999999999886,6757.5,158,lumen,3_otsuOffset,16
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,2.44,0.5208333333333428,11857.5,161,lumen,3_otsuOffset,17
