strip,filename,box_size,x,y
139,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,540,736
140,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,1680,1200
141,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,712,1040
142,./raw_images/2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,200,324,1572
143,./raw_images/2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,200,1212,1640
144,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,200,148,868
145,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,200,408,1096
146,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,200,1144,1752
147,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,200,1036,888
148,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,200,1228,1432
149,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,200,1028,956
150,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,836,596
151,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,1200,636
152,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,1488,704
153,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,1252,1484
154,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,672,456
155,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,1404,560
156,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,1364,1372
157,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,48,1172
158,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,840,984
159,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,652,356
160,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,876,408
