filename,x,y,scale
2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,1812,712,200
2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,1288,1224,200
2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,1056,1028,200
2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,680,1656,200
2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,268,1164,200
2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,640,1020,200
2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,872,304,200
2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,1400,792,200
2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,1092,784,200
2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,908,1244,200
2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,1032,1700,200
2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,1044,268,200
2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,1384,616,200
2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,1516,1052,200
2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,1580,1632,200
2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,1532,408,200
2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,1668,1344,200
2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,1124,996,200
2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,1308,1156,200
2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,572,1004,200
2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,320,492,200
2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,792,556,200
2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,1724,1192,200
2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,1396,1668,200
2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,1736,1848,200
2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,1460,1096,200
2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,1356,340,200
2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,1224,1304,200
2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,1304,1624,200
2023-7-26_Wild Type_500uE 1 hour_3_008_19k.png,1640,608,200
2023-7-26_Wild Type_500uE 1 hour_3_008_19k.png,552,352,200
2023-7-26_Wild Type_500uE 1 hour_3_008_19k.png,424,776,200
2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,1084,732,200
2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,696,656,200
2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,1164,1252,200
2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,776,1324,200
2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,900,1080,200
2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,932,676,200
2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,960,1360,200
2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,1248,504,200
2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,704,1596,200
2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,472,1384,200
2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,208,1364,200
2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,1028,396,200
2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,1228,528,200
2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,1564,724,200
2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,1844,1660,200
2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,804,1848,200
2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,1388,712,200
2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,1224,252,200
