strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,membrane_width,membrane_width_heights,peaks,type,index,process,membrane_width_nm
101,output\trial_2\processed_images\1_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,11.089761570827475,7650.0,81,membrane,4,1_otsuOffset,12.602001785031224
101,output\trial_2\processed_images\1_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5.555555555555557,7650.0,94,membrane,5,1_otsuOffset,6.313131313131316
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,6.843068875326939,7650.0,27,membrane,0,1_otsuOffset,6.249377968335104
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,11.542130365659771,7650.0,42,membrane,1,1_otsuOffset,10.540758324803443
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,12.15811965811966,7650.0,60,membrane,2,1_otsuOffset,11.10330562385357
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,13.234285714285704,7650.0,78,membrane,3,1_otsuOffset,12.086105675146761
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,11.967741935483872,7650.0,95,membrane,4,1_otsuOffset,10.929444689939608
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,12.049999999999995,7650.0,112,membrane,5,1_otsuOffset,11.004566210045658
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,11.757215619694392,7650.0,129,membrane,6,1_otsuOffset,10.737183214332777
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,7.909090909090906,7650.0,144,membrane,7,1_otsuOffset,7.222914072229137
134,output\trial_2\processed_images\1_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,7.917701863354036,7650.0,25,membrane,0,1_otsuOffset,7.230777957400946
134,output\trial_2\processed_images\1_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,12.592857142857149,7650.0,40,membrane,1,1_otsuOffset,11.500326157860409
134,output\trial_2\processed_images\1_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,12.778947368421058,7650.0,58,membrane,2,1_otsuOffset,11.670271569334298
134,output\trial_2\processed_images\1_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,12.725000000000009,7650.0,75,membrane,3,1_otsuOffset,11.621004566210052
