strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,membrane_width,membrane_width_heights,type,index,process,membrane_width_nm
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,10.672161172161177,7650.0,membrane,1,101_otsuOffset,9.746265910649477
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,10.878136200716852,7650.0,membrane,2,101_otsuOffset,9.93437095955877
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,12.722222222222229,7650.0,membrane,3,101_otsuOffset,11.618467782851349
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,11.00501672240803,7650.0,membrane,4,101_otsuOffset,10.05024358210779
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,10.894523326572,7650.0,membrane,5,101_otsuOffset,9.949336371298628
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,10.730000000000004,7650.0,membrane,6,101_otsuOffset,9.799086757990871
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,7.198938992042457,7650.0,membrane,7,101_otsuOffset,6.574373508714572
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.73454545454545,4,6.621212121212121,7650.0,membrane,0,101_otsuOffset,6.04676906046769
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.73454545454545,4,11.672413793103445,7650.0,membrane,1,101_otsuOffset,10.659738623838761
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.73454545454545,4,11.990476190476189,7650.0,membrane,2,101_otsuOffset,10.95020656664492
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.73454545454545,4,11.876811594202891,7650.0,membrane,3,101_otsuOffset,10.84640328237707
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.73454545454545,4,7.946666666666672,7650.0,membrane,4,101_otsuOffset,7.257229832572302
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.82173174872665,4,8.44402277039848,7650.0,membrane,0,101_otsuOffset,7.711436319998611
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.82173174872665,4,11.409090909090908,7650.0,membrane,1,101_otsuOffset,10.419261104192609
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.82173174872665,4,12.564327485380112,7650.0,membrane,2,101_otsuOffset,11.47427167614622
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.82173174872665,4,11.077205882352942,7650.0,membrane,3,101_otsuOffset,10.116169755573463
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.82173174872665,4,7.57072368421052,7650.0,membrane,4,101_otsuOffset,6.913902907954813
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,5.348214285714285,7650.0,membrane,0,101_otsuOffset,6.077516233766233
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,8.850000000000001,7650.0,membrane,1,101_otsuOffset,10.056818181818185
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,9.29767441860465,7650.0,membrane,2,101_otsuOffset,10.56553911205074
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,9.269597069597062,7650.0,membrane,3,101_otsuOffset,10.533633033633025
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,8.96740858505565,7650.0,membrane,4,101_otsuOffset,10.190237028472332
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,9.087121212121218,7650.0,membrane,5,101_otsuOffset,10.326274104683204
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,8.974264705882348,7650.0,membrane,6,101_otsuOffset,10.198028074866306
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,8.280303030303031,7650.0,membrane,7,101_otsuOffset,9.40943526170799
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,4.408730158730165,7650.0,membrane,8,101_otsuOffset,5.009920634920642
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,5.674674674674677,7650.0,membrane,0,101_otsuOffset,6.448493948493951
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,9.937275985663078,7650.0,membrane,1,101_otsuOffset,11.292359074617135
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,9.293333333333337,7650.0,membrane,2,101_otsuOffset,10.560606060606066
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,9.030888030888022,7650.0,membrane,3,101_otsuOffset,10.262372762372753
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,9.466988727858292,7650.0,membrane,4,101_otsuOffset,10.757941736202605
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,9.71052631578948,7650.0,membrane,5,101_otsuOffset,11.034688995215319
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,5.196969696969688,7650.0,membrane,6,101_otsuOffset,5.905647382920101
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.6875,5,5.657894736842106,7650.0,membrane,0,101_otsuOffset,6.429425837320576
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.6875,5,10.714285714285715,7650.0,membrane,1,101_otsuOffset,12.175324675324678
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.6875,5,10.695238095238096,7650.0,membrane,2,101_otsuOffset,12.153679653679657
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.6875,5,10.217245240761486,7650.0,membrane,3,101_otsuOffset,11.61050595541078
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.6875,5,9.977687626774852,7650.0,membrane,4,101_otsuOffset,11.338281394062333
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.6875,5,5.520833333333329,7650.0,membrane,5,101_otsuOffset,6.273674242424238
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.23981900452488,7,6.152406417112299,7650.0,membrane,0,101_otsuOffset,5.61863599736283
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.23981900452488,7,10.699449252557043,7650.0,membrane,1,101_otsuOffset,9.771186532015564
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.23981900452488,7,10.821637426900589,7650.0,membrane,2,101_otsuOffset,9.882773905845285
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.23981900452488,7,10.923076923076934,7650.0,membrane,3,101_otsuOffset,9.975412715138752
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.23981900452488,7,10.64285714285714,7650.0,membrane,4,101_otsuOffset,9.719504240052183
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.23981900452488,7,11.33811230585424,7650.0,membrane,5,101_otsuOffset,10.354440461967343
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.23981900452488,7,10.43233082706766,7650.0,membrane,6,101_otsuOffset,9.52724276444535
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.23981900452488,7,7.2040133779264295,7650.0,membrane,7,101_otsuOffset,6.579007651074364
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,5.270833333333332,7650.0,membrane,0,101_otsuOffset,5.989583333333332
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,8.409340659340664,7650.0,membrane,1,101_otsuOffset,9.556068931068937
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,8.63636363636364,7650.0,membrane,2,101_otsuOffset,9.814049586776864
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,8.528205128205123,7650.0,membrane,3,101_otsuOffset,9.691142191142186
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,8.966449207828518,7650.0,membrane,4,101_otsuOffset,10.189146827077861
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,9.492877492877495,7650.0,membrane,5,101_otsuOffset,10.787360787360791
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,8.265714285714296,7650.0,membrane,6,101_otsuOffset,9.392857142857155
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,9.622222222222206,7650.0,membrane,7,101_otsuOffset,10.934343434343416
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,8.471590909090907,7650.0,membrane,8,101_otsuOffset,9.626807851239667
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,8.406593406593402,7650.0,membrane,9,101_otsuOffset,9.552947052947047
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,8.88095238095238,7650.0,membrane,10,101_otsuOffset,10.091991341991342
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,165.33333333333334,11,6.0454545454545325,7650.0,membrane,11,101_otsuOffset,6.869834710743787
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,5.85025641025641,7650.0,membrane,0,102_otsuOffset,6.648018648018648
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,9.78632478632479,7650.0,membrane,1,102_otsuOffset,11.120823620823627
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,9.72222222222222,7650.0,membrane,2,102_otsuOffset,11.047979797979796
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,9.349848331648133,7650.0,membrane,3,102_otsuOffset,10.624827649600151
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,10.786324786324784,7650.0,membrane,4,102_otsuOffset,12.257187257187255
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,5.272727272727266,7650.0,membrane,5,102_otsuOffset,5.991735537190076
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.69444444444444,7,6.323015873015873,7650.0,membrane,0,102_otsuOffset,5.774443719649199
